article_id,url,title,section,in_training,word_count,dominant_topic,dominant_topic_prob,topic_0_prob,topic_1_prob,topic_2_prob,topic_3_prob,topic_4_prob,topic_5_prob,topic_6_prob,topic_7_prob,topic_8_prob,topic_9_prob,topic_10_prob,topic_11_prob,topic_12_prob,topic_13_prob,topic_14_prob
world/2025/apr/17/uyghur-rights-group-calls-on-hotel-chains-not-to-sanitise-china-abuses-in-xinjiang,https://www.theguardian.com/world/2025/apr/17/uyghur-rights-group-calls-on-hotel-chains-not-to-sanitise-china-abuses-in-xinjiang,Uyghur rights group calls on hotel chains not to ‘sanitise’ China abuses in Xinjiang,World news,yes,1090,4,0.2584,0.2138,0.0001,0.0001,0.0001,0.2584,0.2004,0.0302,0.0001,0.0313,0.0001,0.0001,0.2009,0.0001,0.0644,0.0001
uk-news/2025/mar/25/online-gangs-teenage-boys-sharing-extreme-material-emerging-threat-uk,https://www.theguardian.com/uk-news/2025/mar/25/online-gangs-teenage-boys-sharing-extreme-material-emerging-threat-uk,Online gangs of teenage boys sharing extreme material are ‘emerging threat’ in UK,UK news,yes,980,13,0.6947,0.1217,0.0001,0.0001,0.0555,0.0001,0.0001,0.0001,0.054,0.0001,0.0001,0.0001,0.0222,0.0001,0.6947,0.0511
money/2024/oct/05/the-solo-penalty-from-rent-to-holidays-being-single-is-costing-me-12000-extra-a-year,https://www.theguardian.com/money/2024/oct/05/the-solo-penalty-from-rent-to-holidays-being-single-is-costing-me-12000-extra-a-year,"The solo penalty, from rent to holidays: ‘Being single is costing me £12,000 extra a year’",Money,yes,2723,10,0.7155,0.0,0.0,0.0,0.0001,0.26,0.0,0.0241,0.0,0.0,0.0,0.7155,0.0,0.0,0.0,0.0
money/2024/dec/18/what-are-waspi-women-and-why-do-they-feel-betrayed-over-pensions,https://www.theguardian.com/money/2024/dec/18/what-are-waspi-women-and-why-do-they-feel-betrayed-over-pensions,Who are the ‘Waspi women’ and why do they feel betrayed over pensions?,Money,yes,930,6,0.4355,0.0001,0.0001,0.0001,0.0608,0.0001,0.0001,0.4355,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.3226,0.18
australia-news/2024/mar/28/nsw-may-be-forced-to-pay-150m-a-year-to-extend-life-of-coal-fired-plant-energy-expert-predicts,https://www.theguardian.com/australia-news/2024/mar/28/nsw-may-be-forced-to-pay-150m-a-year-to-extend-life-of-coal-fired-plant-energy-expert-predicts,"NSW may be forced to pay $150m a year to extend life of coal-fired plant, energy expert predicts",Australia news,yes,964,11,0.6941,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0177,0.0001,0.0769,0.0001,0.1399,0.6941,0.0001,0.0706,0.0001
australia-news/2024/sep/12/australias-aged-care-overhaul-what-are-the-changes-and-will-you-have-to-pay-more,https://www.theguardian.com/australia-news/2024/sep/12/australias-aged-care-overhaul-what-are-the-changes-and-will-you-have-to-pay-more,"Australia’s aged care overhaul: what are the changes, and will you have to pay more?",Australia news,yes,1182,7,0.5806,0.0001,0.0001,0.0001,0.0325,0.0001,0.0001,0.0001,0.5806,0.1534,0.0001,0.2327,0.0001,0.0001,0.0001,0.0001
society/article/2024/jul/25/harm-from-problem-gambling-in-uk-may-be-eight-times-higher-than-thought-research-finds,https://www.theguardian.com/society/article/2024/jul/25/harm-from-problem-gambling-in-uk-may-be-eight-times-higher-than-thought-research-finds,Harm from problem gambling in Great Britain ‘may be eight times higher than thought’,Society,yes,1188,11,0.4502,0.0001,0.0001,0.0001,0.3543,0.0001,0.0001,0.0279,0.0001,0.0001,0.0001,0.0001,0.4502,0.0001,0.0726,0.0943
business/2025/may/03/inside-the-marks-and-spencer-cyber-attack-chaos,https://www.theguardian.com/business/2025/may/03/inside-the-marks-and-spencer-cyber-attack-chaos,"Clothing shortages, food waste and millions lost each day: inside the M&S cyber-attack chaos",Business,yes,1597,7,0.6567,0.0001,0.0,0.0001,0.0001,0.0,0.0,0.1816,0.6567,0.0001,0.0175,0.1186,0.0001,0.0,0.0252,0.0
media/2025/may/23/weekly-beast-nick-mckenzie-secret-recording-ben-roberts-smith-sky-news-ntwnfb,https://www.theguardian.com/media/2025/may/23/weekly-beast-nick-mckenzie-secret-recording-ben-roberts-smith-sky-news-ntwnfb,Court’s nuanced analysis of Nick McKenzie’s secret recording in Ben Roberts-Smith appeal a far cry from Sky News claims | Weekly Beast,Media,yes,1083,2,0.6434,0.0001,0.0001,0.6434,0.0001,0.0001,0.1965,0.0001,0.0001,0.159,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001
australia-news/article/2024/sep/10/steadfast-group-insurance-broker-four-corners-report,https://www.theguardian.com/australia-news/article/2024/sep/10/steadfast-group-insurance-broker-four-corners-report,Steadfast Group announces review after Four Corners report alleged brokers hid cheaper quote from rival,Australia news,yes,442,8,0.4921,0.0002,0.0001,0.0586,0.0003,0.0001,0.0001,0.0003,0.0001,0.4921,0.0002,0.1531,0.2943,0.0001,0.0002,0.0001
society/2024/nov/05/digital-tech-rich-opportunities-child-development-study,https://www.theguardian.com/society/2024/nov/05/digital-tech-rich-opportunities-child-development-study,"Digital tech can offer rich opportunities for child development, study says",Society,yes,603,3,0.6657,0.1521,0.0001,0.0001,0.6657,0.0001,0.0001,0.0002,0.1806,0.0001,0.0002,0.0001,0.0001,0.0001,0.0002,0.0001
business/2023/nov/02/australian-academics-apologise-for-false-ai-generated-allegations-against-big-four-consultancy-firms,https://www.theguardian.com/business/2023/nov/02/australian-academics-apologise-for-false-ai-generated-allegations-against-big-four-consultancy-firms,Australian academics apologise for false AI-generated allegations against big four consultancy firms,Business,yes,627,8,0.9982,0.0001,0.0001,0.0001,0.0002,0.0001,0.0001,0.0002,0.0001,0.9982,0.0001,0.0001,0.0001,0.0001,0.0002,0.0001
uk-news/2025/feb/27/martin-lewis-charity-money-worries-mental-health-policy-institute,https://www.theguardian.com/uk-news/2025/feb/27/martin-lewis-charity-money-worries-mental-health-policy-institute,‘We have to protect people’: Martin Lewis on his fight to stop money worries worsening mental health,UK news,yes,965,6,0.5988,0.0001,0.0001,0.0001,0.3695,0.0001,0.0001,0.5988,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0306
global-development/2025/mar/03/those-of-us-who-rely-on-aid-must-accept-the-new-reality-and-shape-our-own-destiny,https://www.theguardian.com/global-development/2025/mar/03/those-of-us-who-rely-on-aid-must-accept-the-new-reality-and-shape-our-own-destiny,Those who depend on aid must embrace Trump’s bombshell and shape their own destiny | Janet Mawiyoo,Global development,yes,830,5,0.5709,0.1606,0.018,0.0001,0.0002,0.0001,0.5709,0.0498,0.0696,0.0001,0.0001,0.0001,0.1301,0.0001,0.0002,0.0001
science/2025/feb/23/forensic-science-centre-that-inspired-bbc-show-traces-at-risk-of-closure,https://www.theguardian.com/science/2025/feb/23/forensic-science-centre-that-inspired-bbc-show-traces-at-risk-of-closure,Forensic science centre that inspired BBC show Traces at risk of closure,Science,yes,576,0,0.4444,0.4444,0.0001,0.0001,0.1111,0.0001,0.0001,0.1091,0.0001,0.0002,0.0224,0.0001,0.0002,0.0001,0.2108,0.1011
news/ng-interactive/2025/may/24/something-has-gone-very-wrong-how-the-carers-scandal-was-exposed,https://www.theguardian.com/news/ng-interactive/2025/may/24/something-has-gone-very-wrong-how-the-carers-scandal-was-exposed,‘Something has gone very wrong’: how the carers scandal was exposed,News,yes,2927,14,0.9995,0.0,0.0,0.0,0.0001,0.0,0.0,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9995
uk-news/2024/feb/26/northumberland-line-passenger-trains-return,https://www.theguardian.com/uk-news/2024/feb/26/northumberland-line-passenger-trains-return,‘Proper exciting’: passenger trains to return to Northumberland Line after 60 years,UK news,yes,846,0,0.3254,0.3254,0.0001,0.0001,0.0002,0.0001,0.0001,0.2141,0.0001,0.1679,0.0001,0.2913,0.0001,0.0001,0.0002,0.0001
environment/2025/apr/02/ministers-lose-appeal-against-yorkshire-anglers-river-pollution-ruling,https://www.theguardian.com/environment/2025/apr/02/ministers-lose-appeal-against-yorkshire-anglers-river-pollution-ruling,Environment secretary’s appeal against Yorkshire river pollution ruling fails,Environment,yes,493,4,0.8583,0.0002,0.0001,0.0002,0.0003,0.8583,0.0001,0.0003,0.0001,0.0002,0.0002,0.0002,0.1393,0.0001,0.0002,0.0001
law/2024/dec/06/busybody-fines-up-42-in-2023-in-england-and-wales-report-shows,https://www.theguardian.com/law/2024/dec/06/busybody-fines-up-42-in-2023-in-england-and-wales-report-shows,"‘Busybody’ fines up 42% in 2023 in England and Wales, report shows",Law,yes,681,14,0.4015,0.0001,0.0001,0.0001,0.1006,0.0619,0.0001,0.0002,0.0001,0.1835,0.0001,0.0404,0.082,0.0207,0.1083,0.4015
world/2024/jan/16/new-zealand-government-voting-age-change-rejected-minimum-terms-parliament,https://www.theguardian.com/world/2024/jan/16/new-zealand-government-voting-age-change-rejected-minimum-terms-parliament,New Zealand government rejects Ardern-era bid to lower voting age,World news,yes,576,8,0.4292,0.0001,0.0001,0.0001,0.0003,0.0001,0.0001,0.3933,0.0001,0.4292,0.0002,0.0001,0.0002,0.0001,0.1645,0.0114
australia-news/2022/dec/24/morally-questionable-compliance-element-should-be-scrapped-from-controversial-parentsnext-scheme-mps-told,https://www.theguardian.com/australia-news/2022/dec/24/morally-questionable-compliance-element-should-be-scrapped-from-controversial-parentsnext-scheme-mps-told,"‘Morally questionable’: compliance element should be scrapped from controversial ParentsNext scheme, MPs told",Australia news,yes,766,2,0.6103,0.0001,0.0001,0.6103,0.1645,0.0001,0.0001,0.0002,0.0001,0.1224,0.0001,0.0001,0.0001,0.0001,0.1017,0.0001
uk-news/2025/jun/24/english-heritage-chief-nick-merriman-steps-down-after-overseeing-controversial-cost-cuts,https://www.theguardian.com/uk-news/2025/jun/24/english-heritage-chief-nick-merriman-steps-down-after-overseeing-controversial-cost-cuts,English Heritage chief steps down after overseeing controversial cost cuts,UK news,yes,608,6,0.5674,0.0001,0.0001,0.1428,0.0383,0.0001,0.0001,0.5674,0.1412,0.0002,0.0002,0.0001,0.1089,0.0001,0.0002,0.0001
environment/2022/jun/09/david-littleprouds-coal-case-study-to-defend-coalition-energy-policy-is-something-of-a-credibility-stretch,https://www.theguardian.com/environment/2022/jun/09/david-littleprouds-coal-case-study-to-defend-coalition-energy-policy-is-something-of-a-credibility-stretch,David Littleproud’s coal case study to defend Coalition energy policy is something of a credibility stretch | Temperature Check,Environment,yes,989,11,0.7331,0.0001,0.0001,0.032,0.0002,0.0001,0.0001,0.1441,0.0001,0.0898,0.0001,0.0001,0.7331,0.0001,0.0001,0.0001
uk-news/article/2024/may/20/scotland-vulnerable-marine-protection-areas,https://www.theguardian.com/uk-news/article/2024/may/20/scotland-vulnerable-marine-protection-areas,"Scotland’s vulnerable marine life not properly protected, campaigners warn",UK news,yes,904,11,0.6769,0.0001,0.0001,0.0001,0.0002,0.0001,0.0821,0.24,0.0001,0.0001,0.0001,0.0001,0.6769,0.0001,0.0001,0.0001
us-news/article/2024/jun/17/between-hollow-rhetoric-and-war-how-sanctions-work-and-why-they-often-dont,https://www.theguardian.com/us-news/article/2024/jun/17/between-hollow-rhetoric-and-war-how-sanctions-work-and-why-they-often-dont,Between hollow rhetoric and war: how sanctions work – and why they often don’t,US news,yes,1105,5,0.4695,0.0306,0.0784,0.0001,0.0001,0.295,0.4695,0.0001,0.0001,0.0001,0.0001,0.0001,0.1255,0.0001,0.0001,0.0001
uk-news/2025/jun/01/southport-attack-unrest-1958-race-riots-2011-disorder-far-right-protests,https://www.theguardian.com/uk-news/2025/jun/01/southport-attack-unrest-1958-race-riots-2011-disorder-far-right-protests,"Riots after Southport attack more similar to those in 1958 than in 2011, study finds",UK news,yes,838,0,0.5495,0.5495,0.0802,0.0001,0.252,0.0001,0.0001,0.0002,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.1172,0.0001
business/2024/sep/24/minister-naming-and-shaming-tulip-siddiq-financial-conduct-authority,https://www.theguardian.com/business/2024/sep/24/minister-naming-and-shaming-tulip-siddiq-financial-conduct-authority,Minister urges UK financial regulator to rethink ‘naming and shaming’ plan,Business,yes,528,6,0.5775,0.0002,0.0001,0.0002,0.0003,0.0001,0.0001,0.5775,0.0001,0.2869,0.0002,0.0001,0.0788,0.0001,0.055,0.0001
environment/2025/apr/25/public-affairs-firms-in-europe-enable-pollution-by-lobbying-for-big-oil-says-analysis,https://www.theguardian.com/environment/2025/apr/25/public-affairs-firms-in-europe-enable-pollution-by-lobbying-for-big-oil-says-analysis,"Public affairs firms in Europe enable pollution by lobbying for big oil, says analysis",Environment,yes,1126,11,0.7077,0.0001,0.0001,0.0001,0.0001,0.1011,0.0001,0.0001,0.0001,0.1903,0.0001,0.0001,0.7077,0.0001,0.0001,0.0001
society/2024/apr/19/unpaid-carers-not-claiming-allowance-benefit,https://www.theguardian.com/society/2024/apr/19/unpaid-carers-not-claiming-allowance-benefit,"Half a million unpaid carers in UK not claiming £4,200 a year benefit",Society,yes,981,14,0.7962,0.0001,0.0001,0.0001,0.1374,0.0001,0.0001,0.0002,0.0001,0.0001,0.0001,0.0652,0.0001,0.0001,0.0001,0.7962
australia-news/article/2024/may/22/medical-cannabis-driving-trial-australia-dui-roadside-drug-impairment-test,https://www.theguardian.com/australia-news/article/2024/may/22/medical-cannabis-driving-trial-australia-dui-roadside-drug-impairment-test,Medical cannabis: cross-party committee says Australia needs new roadside impairment test,Australia news,yes,669,9,0.4637,0.0001,0.0001,0.0121,0.0002,0.0153,0.0001,0.0002,0.0001,0.4199,0.4637,0.0001,0.0001,0.0001,0.0879,0.0001
environment/2024/feb/12/england-brings-in-biodiversity-net-gain-rules-to-force-builders-to-compensate-for-loss-of-nature,https://www.theguardian.com/environment/2024/feb/12/england-brings-in-biodiversity-net-gain-rules-to-force-builders-to-compensate-for-loss-of-nature,England brings in biodiversity rules to force builders to compensate for loss of nature,Environment,yes,888,11,0.7846,0.0344,0.0001,0.0001,0.0002,0.0164,0.0001,0.0262,0.0001,0.0001,0.0001,0.0641,0.7846,0.0001,0.0734,0.0001
world/article/2024/may/21/first-edition-iran-ebrahim-raisi,https://www.theguardian.com/world/article/2024/may/21/first-edition-iran-ebrahim-raisi,Tuesday briefing: What the death of Ebrahim Raisi means for Iran’s political future,World news,yes,2466,6,0.3659,0.0696,0.0846,0.0474,0.0001,0.0796,0.2557,0.3659,0.0,0.0,0.0244,0.0,0.0,0.0,0.0725,0.0
us-news/2024/nov/07/4b-movement-trump-women,https://www.theguardian.com/us-news/2024/nov/07/4b-movement-trump-women,‘No man will touch me until I have my rights back’: why is the 4B movement going viral after Trump’s win?,US news,yes,1271,0,0.4684,0.4684,0.193,0.271,0.0001,0.0001,0.0668,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001
science/article/2024/jun/20/global-emergency-preparation-food-storage-grain,https://www.theguardian.com/science/article/2024/jun/20/global-emergency-preparation-food-storage-grain,Economist suggests storing grain to prepare for next global emergency,Science,yes,1026,11,0.7499,0.0001,0.0,0.0001,0.0001,0.0001,0.0504,0.0001,0.0001,0.0001,0.0001,0.1988,0.7499,0.0001,0.0001,0.0001
australia-news/article/2024/aug/15/landmark-report-on-murdered-indigenous-women-condemned-as-weak-and-toothless,https://www.theguardian.com/australia-news/article/2024/aug/15/landmark-report-on-murdered-indigenous-women-condemned-as-weak-and-toothless,Landmark report on murdered Indigenous women condemned as ‘weak’ and ‘toothless’,Australia news,yes,946,13,0.6971,0.0001,0.0001,0.0411,0.0002,0.0001,0.0001,0.0002,0.078,0.1644,0.0001,0.0001,0.0001,0.0183,0.6971,0.0001
us-news/2025/mar/24/eggs-inflation-american-culture,https://www.theguardian.com/us-news/2025/mar/24/eggs-inflation-american-culture,Shell-shocked! Why eggs – and their rising price – are an American obsession,US news,yes,1033,3,0.3096,0.0001,0.3022,0.0001,0.3096,0.0001,0.1324,0.0002,0.0001,0.0001,0.0001,0.1722,0.0827,0.0001,0.0001,0.0001
society/2024/mar/29/financial-abuse-can-follow-victims-long-after-relationships-end-australian-experts-are-calling-for-reform,https://www.theguardian.com/society/2024/mar/29/financial-abuse-can-follow-victims-long-after-relationships-end-australian-experts-are-calling-for-reform,Financial abuse can follow victims long after relationships end. Australian experts are calling for reform,Society,yes,1268,13,0.4148,0.0001,0.0,0.0001,0.0858,0.0001,0.0001,0.4134,0.0001,0.0592,0.0001,0.0001,0.0001,0.0001,0.4148,0.0263
australia-news/article/2024/sep/11/queensland-children-police-watch-houses-watchdog-report,https://www.theguardian.com/australia-news/article/2024/sep/11/queensland-children-police-watch-houses-watchdog-report,"Sick and suicidal children held in Queensland police watch houses for weeks without healthcare, watchdog reveals",Australia news,yes,920,13,0.7434,0.0001,0.0001,0.0001,0.2216,0.0001,0.0001,0.0002,0.0001,0.0001,0.0341,0.0001,0.0001,0.0001,0.7434,0.0001
science/2025/may/19/junk-science-vaccine-refusers-and-the-return-of-smallpox-what-worries-one-of-australias-top-epidemiologists,https://www.theguardian.com/science/2025/may/19/junk-science-vaccine-refusers-and-the-return-of-smallpox-what-worries-one-of-australias-top-epidemiologists,"Junk science, vaccine refusers and the return of smallpox: what worries one of Australia’s top epidemiologists",Science,yes,1506,12,0.5734,0.0513,0.0,0.0001,0.3745,0.0001,0.0,0.0001,0.0,0.0001,0.0001,0.0001,0.0001,0.5734,0.0001,0.0
world/2024/oct/31/thursday-briefing-what-you-need-to-know-about-rachel-reevess-plans-for-the-economy,https://www.theguardian.com/world/2024/oct/31/thursday-briefing-what-you-need-to-know-about-rachel-reevess-plans-for-the-economy,Thursday briefing: What you need to know about Rachel Reeves’s plans for the economy,World news,yes,2399,6,0.8638,0.0,0.1113,0.0,0.0001,0.0,0.0,0.8638,0.0,0.0,0.0,0.0,0.0244,0.0,0.0,0.0
society/2024/mar/31/why-the-tavistock-gender-identity-clinic-was-forced-to-shut-and-what-happens-next,https://www.theguardian.com/society/2024/mar/31/why-the-tavistock-gender-identity-clinic-was-forced-to-shut-and-what-happens-next,Why the Tavistock gender identity clinic was forced to shut ... and what happens next,Society,yes,2271,3,0.4613,0.0,0.0,0.0,0.4613,0.0,0.355,0.0001,0.0,0.0,0.0579,0.0,0.0,0.0,0.1254,0.0
australia-news/article/2024/jul/24/queensland-failed-to-act-on-report-into-devastating-experiences-of-people-with-disability-in-justice-system,https://www.theguardian.com/australia-news/article/2024/jul/24/queensland-failed-to-act-on-report-into-devastating-experiences-of-people-with-disability-in-justice-system,Queensland failed to act on report into ‘devastating’ experiences of people with disability in justice system,Australia news,yes,935,13,0.8763,0.0001,0.0001,0.0001,0.084,0.0001,0.0001,0.0002,0.0001,0.0238,0.0001,0.0001,0.0001,0.0001,0.8763,0.0149
technology/2025/mar/22/we-need-to-set-the-terms-or-were-all-screwed-how-newsrooms-are-tackling-ais-uncertainties-and-opportunities,https://www.theguardian.com/technology/2025/mar/22/we-need-to-set-the-terms-or-were-all-screwed-how-newsrooms-are-tackling-ais-uncertainties-and-opportunities,‘We need to set the terms or we’re all screwed’: how newsrooms are tackling AI’s uncertainties and opportunities,Technology,yes,1145,0,0.4025,0.4025,0.0001,0.4014,0.0001,0.0001,0.0001,0.0001,0.1168,0.0001,0.0001,0.0783,0.0001,0.0001,0.0001,0.0001
global-development/2025/mar/02/this-will-cost-lives-cuts-to-uk-aid-budget-condemned-as-betrayal-by-international-development-groups,https://www.theguardian.com/global-development/2025/mar/02/this-will-cost-lives-cuts-to-uk-aid-budget-condemned-as-betrayal-by-international-development-groups,‘This will cost lives’: cuts to UK aid budget condemned as ‘betrayal’ by international development groups,Global development,yes,2525,5,0.3667,0.1609,0.0,0.0,0.1426,0.0,0.3667,0.1452,0.0,0.0,0.0077,0.0,0.1573,0.0194,0.0,0.0
technology/2025/may/21/every-person-that-clashed-with-him-has-left-the-rise-fall-and-spectacular-comeback-of-sam-altman,https://www.theguardian.com/technology/2025/may/21/every-person-that-clashed-with-him-has-left-the-rise-fall-and-spectacular-comeback-of-sam-altman,"‘Every person that clashed with him has left’: the rise, fall and spectacular comeback of Sam Altman",Technology,yes,2262,0,0.4875,0.4875,0.0194,0.0,0.0696,0.0241,0.0,0.0001,0.0309,0.1655,0.0752,0.0247,0.1027,0.0,0.0001,0.0
law/2023/mar/07/australia-federal-human-rights-act-commission-targets-robodebt-covid-policies-indefinite-detention,https://www.theguardian.com/law/2023/mar/07/australia-federal-human-rights-act-commission-targets-robodebt-covid-policies-indefinite-detention,"AHRC targets robodebt, Covid policies and indefinite detention in push for federal human rights act",Law,yes,818,13,0.4423,0.0922,0.0001,0.0538,0.0002,0.0615,0.0001,0.0002,0.0001,0.2835,0.0001,0.0001,0.0001,0.0658,0.4423,0.0001
society/2024/jan/22/nhs-drug-shortages-are-partly-a-political-failure,https://www.theguardian.com/society/2024/jan/22/nhs-drug-shortages-are-partly-a-political-failure,NHS drug shortages are partly a political failure | Letters,Society,yes,587,9,0.6501,0.0001,0.0001,0.0001,0.0003,0.0001,0.0001,0.2705,0.0001,0.0002,0.6501,0.0777,0.0002,0.0001,0.0002,0.0001
australia-news/2024/dec/06/two-australian-teens-convicted-under-counter-terrorism-laws-as-afp-and-asio-warn-of-early-signs-of-radicalisation,https://www.theguardian.com/australia-news/2024/dec/06/two-australian-teens-convicted-under-counter-terrorism-laws-as-afp-and-asio-warn-of-early-signs-of-radicalisation,AFP and Asio warn of ‘shocking’ numbers of teens in terrorism cases,Australia news,yes,634,13,0.5121,0.0001,0.0001,0.1978,0.0953,0.0001,0.0001,0.0002,0.0769,0.1168,0.0001,0.0001,0.0001,0.0001,0.5121,0.0001
environment/2025/jul/22/in-a-bombed-out-reservoir-ukraine-huge-forest-grown-a-return-to-life-or-toxic-timebomb,https://www.theguardian.com/environment/2025/jul/22/in-a-bombed-out-reservoir-ukraine-huge-forest-grown-a-return-to-life-or-toxic-timebomb,In Ukraine’s bombed out reservoir a huge forest has grown – is it a return to life or a toxic timebomb?,Environment,yes,1889,11,0.4194,0.0,0.0,0.0,0.1189,0.3333,0.107,0.0001,0.0,0.0,0.0001,0.0,0.4194,0.0209,0.0001,0.0
world/2024/dec/14/west-africa-architectural-heritage-lome-togo,https://www.theguardian.com/world/2024/dec/14/west-africa-architectural-heritage-lome-togo,"Restore, destroy or leave to rot? Battle lines drawn over west Africa’s architectural heritage",World news,yes,911,0,0.4169,0.4169,0.0001,0.0001,0.0002,0.1404,0.1767,0.0002,0.0001,0.0001,0.0001,0.2032,0.0616,0.0001,0.0001,0.0001
society/article/2024/jun/17/teachers-gps-staggering-extra-demands-poverty-great-britain,https://www.theguardian.com/society/article/2024/jun/17/teachers-gps-staggering-extra-demands-poverty-great-britain,Teachers and GPs ‘staggering’ under extra demands caused by poverty in Great Britain,Society,yes,974,3,0.8143,0.0001,0.0001,0.0001,0.8143,0.0001,0.0001,0.1101,0.0001,0.0001,0.0001,0.0747,0.0001,0.0001,0.0001,0.0001
