round_id,query_index,query,timestamp,template,components,articles_found,total_available,high_relevance,precision,new_terms_mined,status
6,2,"(""randomised controlled trial"" OR ""evaluation"" OR ""A/B test"") AND (""hormone sensitive"" OR ""hydroxychloroquine"" OR ""options"") AND NOT (""sport"" OR ""live blog"")",2026-02-11 10:45:12,(METHOD) AND (CONTEXT) AND NOT (NOISE),"{'METHOD': ['randomised controlled trial', 'evaluation', 'A/B test'], 'DECISION': ['terminate', 'expand', 'implement'], 'CONTEXT': ['hormone sensitive', 'hydroxychloroquine', 'options'], 'NOISE': ['sport', 'live blog']}",50,658,4,0.08,"['alzheimer disease', 'risk', 'year', 'according', 'weeks']",COMPLETED
6,3,"(""A/B test"" OR ""pilot study"" OR ""evaluation"") AND (""expand"" OR ""terminate"" OR ""approve"") AND (""data"" OR ""combination"" OR ""levonorgestrel"")",2026-02-11 10:46:20,(METHOD) AND (DECISION) AND (CONTEXT),"{'METHOD': ['A/B test', 'pilot study', 'evaluation'], 'DECISION': ['expand', 'terminate', 'approve'], 'CONTEXT': ['data', 'combination', 'levonorgestrel'], 'NOISE': ['live blog', 'review']}",50,694,PENDING,0.0,[],FETCHED
6,3,"(""A/B test"" OR ""pilot study"" OR ""evaluation"") AND (""expand"" OR ""terminate"" OR ""approve"") AND (""data"" OR ""combination"" OR ""levonorgestrel"")",2026-02-11 10:46:20,(METHOD) AND (DECISION) AND (CONTEXT),"{'METHOD': ['A/B test', 'pilot study', 'evaluation'], 'DECISION': ['expand', 'terminate', 'approve'], 'CONTEXT': ['data', 'combination', 'levonorgestrel'], 'NOISE': ['live blog', 'review']}",50,694,1,0.02,"['decline', 'kisunla', 'potential', 'early', 'donanemab']",COMPLETED
6,4,"(""will decide"" OR ""approve"" OR ""expand"") AND (""levonorgestrel"" OR ""covid"" OR ""effects"") AND NOT (""evaluation"" OR ""field experiment"" OR ""A/B test"")",2026-02-11 10:47:27,(DECISION) AND (CONTEXT) AND NOT (METHOD),"{'METHOD': ['evaluation', 'field experiment', 'A/B test'], 'DECISION': ['will decide', 'approve', 'expand'], 'CONTEXT': ['levonorgestrel', 'covid', 'effects'], 'NOISE': ['sport', 'live blog']}",50,9329,PENDING,0.0,[],FETCHED
6,4,"(""will decide"" OR ""approve"" OR ""expand"") AND (""levonorgestrel"" OR ""covid"" OR ""effects"") AND NOT (""evaluation"" OR ""field experiment"" OR ""A/B test"")",2026-02-11 10:47:27,(DECISION) AND (CONTEXT) AND NOT (METHOD),"{'METHOD': ['evaluation', 'field experiment', 'A/B test'], 'DECISION': ['will decide', 'approve', 'expand'], 'CONTEXT': ['levonorgestrel', 'covid', 'effects'], 'NOISE': ['sport', 'live blog']}",50,9329,1,0.02,"['maggie', 'nutrition', 'help', 'service', 'nutritional']",COMPLETED
7,1,"(""impact evaluation"" OR ""controlled trial"" OR ""RCT"") AND (""drink"" OR ""long"" OR ""morning"") AND NOT (""letters"" OR ""review"")",2026-02-11 10:48:21,(METHOD) AND (CONTEXT) AND NOT (NOISE),"{'METHOD': ['impact evaluation', 'controlled trial', 'RCT'], 'DECISION': ['decision to', 'will decide', 'expand'], 'CONTEXT': ['drink', 'long', 'morning'], 'NOISE': ['letters', 'review']}",50,151,PENDING,0.0,[],FETCHED
7,1,"(""impact evaluation"" OR ""controlled trial"" OR ""RCT"") AND (""drink"" OR ""long"" OR ""morning"") AND NOT (""letters"" OR ""review"")",2026-02-11 10:48:21,(METHOD) AND (CONTEXT) AND NOT (NOISE),"{'METHOD': ['impact evaluation', 'controlled trial', 'RCT'], 'DECISION': ['decision to', 'will decide', 'expand'], 'CONTEXT': ['drink', 'long', 'morning'], 'NOISE': ['letters', 'review']}",50,151,9,0.18,"['dose', 'efficacy', 'organs', 'university', 'donors']",COMPLETED
7,2,"(""randomised controlled trial"" OR ""evaluation"" OR ""pilot study"") AND (""compared"" OR ""alzheimer disease"" OR ""capivasertib"") AND NOT (""review"" OR ""podcast"")",2026-02-11 10:49:28,(METHOD) AND (CONTEXT) AND NOT (NOISE),"{'METHOD': ['randomised controlled trial', 'evaluation', 'pilot study'], 'DECISION': ['funding', 'expand', 'approve'], 'CONTEXT': ['compared', 'alzheimer disease', 'capivasertib'], 'NOISE': ['review', 'podcast']}",50,983,PENDING,0.0,[],FETCHED
7,2,"(""randomised controlled trial"" OR ""evaluation"" OR ""pilot study"") AND (""compared"" OR ""alzheimer disease"" OR ""capivasertib"") AND NOT (""review"" OR ""podcast"")",2026-02-11 10:49:28,(METHOD) AND (CONTEXT) AND NOT (NOISE),"{'METHOD': ['randomised controlled trial', 'evaluation', 'pilot study'], 'DECISION': ['funding', 'expand', 'approve'], 'CONTEXT': ['compared', 'alzheimer disease', 'capivasertib'], 'NOISE': ['review', 'podcast']}",50,983,9,0.18,"['clinical', 'world', 'institute', 'london', 'widely']",COMPLETED
7,3,"(""evaluation"" OR ""randomized controlled trial"" OR ""randomised controlled trial"") AND (""alzheimer"" OR ""advanced"" OR ""emergency contraception"") AND NOT (""podcast"" OR ""letters"")",2026-02-11 10:50:38,(METHOD) AND (CONTEXT) AND NOT (NOISE),"{'METHOD': ['evaluation', 'randomized controlled trial', 'randomised controlled trial'], 'DECISION': ['terminate', 'decision to', 'expand'], 'CONTEXT': ['alzheimer', 'advanced', 'emergency contraception'], 'NOISE': ['podcast', 'letters']}",50,437,PENDING,0.0,[],FETCHED
7,3,"(""evaluation"" OR ""randomized controlled trial"" OR ""randomised controlled trial"") AND (""alzheimer"" OR ""advanced"" OR ""emergency contraception"") AND NOT (""podcast"" OR ""letters"")",2026-02-11 10:50:38,(METHOD) AND (CONTEXT) AND NOT (NOISE),"{'METHOD': ['evaluation', 'randomized controlled trial', 'randomised controlled trial'], 'DECISION': ['terminate', 'decision to', 'expand'], 'CONTEXT': ['alzheimer', 'advanced', 'emergency contraception'], 'NOISE': ['podcast', 'letters']}",50,437,6,0.12,"['exciting', 'live', 'cancer cells', 'standard care', 'ai supported']",COMPLETED
7,4,"(""impact evaluation"" OR ""field experiment"" OR ""controlled trial"") AND (""risk"" OR ""reduce"" OR ""donanemab"") AND NOT (""letters"" OR ""live blog"")",2026-02-11 10:51:34,(METHOD) AND (CONTEXT) AND NOT (NOISE),"{'METHOD': ['impact evaluation', 'field experiment', 'controlled trial'], 'DECISION': ['adopt', 'decision to', 'expand'], 'CONTEXT': ['risk', 'reduce', 'donanemab'], 'NOISE': ['letters', 'live blog']}",50,182,PENDING,0.0,[],FETCHED
7,4,"(""impact evaluation"" OR ""field experiment"" OR ""controlled trial"") AND (""risk"" OR ""reduce"" OR ""donanemab"") AND NOT (""letters"" OR ""live blog"")",2026-02-11 10:51:34,(METHOD) AND (CONTEXT) AND NOT (NOISE),"{'METHOD': ['impact evaluation', 'field experiment', 'controlled trial'], 'DECISION': ['adopt', 'decision to', 'expand'], 'CONTEXT': ['risk', 'reduce', 'donanemab'], 'NOISE': ['letters', 'live blog']}",50,182,7,0.14,"['intervention', 'taking', 'important', 'said findings', 'college']",COMPLETED
8,1,"(""terminate"" OR ""will decide"" OR ""funding"") AND (""early"" OR ""said findings"" OR ""lilly"") AND NOT (""impact evaluation"" OR ""field experiment"" OR ""randomised controlled trial"")",2026-02-11 10:52:37,(DECISION) AND (CONTEXT) AND NOT (METHOD),"{'METHOD': ['impact evaluation', 'field experiment', 'randomised controlled trial'], 'DECISION': ['terminate', 'will decide', 'funding'], 'CONTEXT': ['early', 'said findings', 'lilly'], 'NOISE': ['live blog', 'letters']}",50,36805,PENDING,0.0,[],FETCHED
8,1,"(""terminate"" OR ""will decide"" OR ""funding"") AND (""early"" OR ""said findings"" OR ""lilly"") AND NOT (""impact evaluation"" OR ""field experiment"" OR ""randomised controlled trial"")",2026-02-11 10:52:37,(DECISION) AND (CONTEXT) AND NOT (METHOD),"{'METHOD': ['impact evaluation', 'field experiment', 'randomised controlled trial'], 'DECISION': ['terminate', 'will decide', 'funding'], 'CONTEXT': ['early', 'said findings', 'lilly'], 'NOISE': ['live blog', 'letters']}",50,36805,0,0.0,[],COMPLETED
8,2,"(""controlled trial"" OR ""impact evaluation"" OR ""RCT"") AND (""chemotherapy"" OR ""vaccine"" OR ""widely"") AND NOT (""podcast"" OR ""letters"")",2026-02-11 10:53:24,(METHOD) AND (CONTEXT) AND NOT (NOISE),"{'METHOD': ['controlled trial', 'impact evaluation', 'RCT'], 'DECISION': ['implement', 'expand', 'terminate'], 'CONTEXT': ['chemotherapy', 'vaccine', 'widely'], 'NOISE': ['podcast', 'letters']}",50,79,PENDING,0.0,[],FETCHED
8,2,"(""controlled trial"" OR ""impact evaluation"" OR ""RCT"") AND (""chemotherapy"" OR ""vaccine"" OR ""widely"") AND NOT (""podcast"" OR ""letters"")",2026-02-11 10:53:24,(METHOD) AND (CONTEXT) AND NOT (NOISE),"{'METHOD': ['controlled trial', 'impact evaluation', 'RCT'], 'DECISION': ['implement', 'expand', 'terminate'], 'CONTEXT': ['chemotherapy', 'vaccine', 'widely'], 'NOISE': ['podcast', 'letters']}",50,79,9,0.18,"['dexamethasone', 'hospital', 'trials', 'given', 'oxford']",COMPLETED
8,3,"(""RCT"" OR ""field experiment"" OR ""pilot study"") AND (""implement"" OR ""adopt"" OR ""expand"") AND (""lives"" OR ""donors"" OR ""kisunla"")",2026-02-11 10:54:28,(METHOD) AND (DECISION) AND (CONTEXT),"{'METHOD': ['RCT', 'field experiment', 'pilot study'], 'DECISION': ['implement', 'adopt', 'expand'], 'CONTEXT': ['lives', 'donors', 'kisunla'], 'NOISE': ['letters', 'podcast']}",18,18,PENDING,0.0,[],FETCHED
8,3,"(""RCT"" OR ""field experiment"" OR ""pilot study"") AND (""implement"" OR ""adopt"" OR ""expand"") AND (""lives"" OR ""donors"" OR ""kisunla"")",2026-02-11 10:54:28,(METHOD) AND (DECISION) AND (CONTEXT),"{'METHOD': ['RCT', 'field experiment', 'pilot study'], 'DECISION': ['implement', 'adopt', 'expand'], 'CONTEXT': ['lives', 'donors', 'kisunla'], 'NOISE': ['letters', 'podcast']}",18,18,0,0.0,[],COMPLETED
8,4,"(""evaluation"" OR ""randomised controlled trial"" OR ""controlled trial"") AND (""study"" OR ""taking"" OR ""darolutamide"") AND NOT (""podcast"" OR ""letters"")",2026-02-11 10:54:40,(METHOD) AND (CONTEXT) AND NOT (NOISE),"{'METHOD': ['evaluation', 'randomised controlled trial', 'controlled trial'], 'DECISION': ['funding', 'implement', 'adopt'], 'CONTEXT': ['study', 'taking', 'darolutamide'], 'NOISE': ['podcast', 'letters']}",50,3911,PENDING,0.0,[],FETCHED
8,4,"(""evaluation"" OR ""randomised controlled trial"" OR ""controlled trial"") AND (""study"" OR ""taking"" OR ""darolutamide"") AND NOT (""podcast"" OR ""letters"")",2026-02-11 10:54:40,(METHOD) AND (CONTEXT) AND NOT (NOISE),"{'METHOD': ['evaluation', 'randomised controlled trial', 'controlled trial'], 'DECISION': ['funding', 'implement', 'adopt'], 'CONTEXT': ['study', 'taking', 'darolutamide'], 'NOISE': ['podcast', 'letters']}",50,3911,11,0.22,"['online', 'using', 'therapies', 'anxiety', 'randomised']",COMPLETED
9,1,"(""field experiment"" OR ""controlled trial"" OR ""evaluation"") AND (""adopt"" OR ""approve"" OR ""terminate"") AND (""nutrition"" OR ""weeks"" OR ""obesity"")",2026-02-11 10:55:38,(METHOD) AND (DECISION) AND (CONTEXT),"{'METHOD': ['field experiment', 'controlled trial', 'evaluation'], 'DECISION': ['adopt', 'approve', 'terminate'], 'CONTEXT': ['nutrition', 'weeks', 'obesity'], 'NOISE': ['letters', 'opinion']}",50,278,PENDING,0.0,[],FETCHED
9,1,"(""field experiment"" OR ""controlled trial"" OR ""evaluation"") AND (""adopt"" OR ""approve"" OR ""terminate"") AND (""nutrition"" OR ""weeks"" OR ""obesity"")",2026-02-11 10:55:38,(METHOD) AND (DECISION) AND (CONTEXT),"{'METHOD': ['field experiment', 'controlled trial', 'evaluation'], 'DECISION': ['adopt', 'approve', 'terminate'], 'CONTEXT': ['nutrition', 'weeks', 'obesity'], 'NOISE': ['letters', 'opinion']}",50,278,1,0.02,"['ultimately', 'fda said', 'include', 'lilly statement', 'leqembi']",COMPLETED
9,2,"(""impact evaluation"" OR ""A/B test"" OR ""randomised controlled trial"") AND (""roll out"" OR ""terminate"" OR ""adopt"") AND (""ai supported"" OR ""institute"" OR ""important"")",2026-02-11 10:56:33,(METHOD) AND (DECISION) AND (CONTEXT),"{'METHOD': ['impact evaluation', 'A/B test', 'randomised controlled trial'], 'DECISION': ['roll out', 'terminate', 'adopt'], 'CONTEXT': ['ai supported', 'institute', 'important'], 'NOISE': ['letters', 'opinion']}",6,6,PENDING,0.0,[],FETCHED
9,2,"(""impact evaluation"" OR ""A/B test"" OR ""randomised controlled trial"") AND (""roll out"" OR ""terminate"" OR ""adopt"") AND (""ai supported"" OR ""institute"" OR ""important"")",2026-02-11 10:56:33,(METHOD) AND (DECISION) AND (CONTEXT),"{'METHOD': ['impact evaluation', 'A/B test', 'randomised controlled trial'], 'DECISION': ['roll out', 'terminate', 'adopt'], 'CONTEXT': ['ai supported', 'institute', 'important'], 'NOISE': ['letters', 'opinion']}",6,6,0,0.0,[],COMPLETED
9,3,"(""terminate"" OR ""adopt"" OR ""approve"") AND (""hope"" OR ""potential"" OR ""nutrition"") AND NOT (""randomised controlled trial"" OR ""A/B test"" OR ""field experiment"")",2026-02-11 10:56:41,(DECISION) AND (CONTEXT) AND NOT (METHOD),"{'METHOD': ['randomised controlled trial', 'A/B test', 'field experiment'], 'DECISION': ['terminate', 'adopt', 'approve'], 'CONTEXT': ['hope', 'potential', 'nutrition'], 'NOISE': ['opinion', 'live blog']}",50,18733,PENDING,0.0,[],FETCHED
9,3,"(""terminate"" OR ""adopt"" OR ""approve"") AND (""hope"" OR ""potential"" OR ""nutrition"") AND NOT (""randomised controlled trial"" OR ""A/B test"" OR ""field experiment"")",2026-02-11 10:56:41,(DECISION) AND (CONTEXT) AND NOT (METHOD),"{'METHOD': ['randomised controlled trial', 'A/B test', 'field experiment'], 'DECISION': ['terminate', 'adopt', 'approve'], 'CONTEXT': ['hope', 'potential', 'nutrition'], 'NOISE': ['opinion', 'live blog']}",50,18733,0,0.0,[],COMPLETED
9,4,"(""A/B test"" OR ""pilot study"" OR ""randomised controlled trial"") AND (""according"" OR ""oxford"" OR ""service"") AND NOT (""letters"" OR ""podcast"")",2026-02-11 10:57:25,(METHOD) AND (CONTEXT) AND NOT (NOISE),"{'METHOD': ['A/B test', 'pilot study', 'randomised controlled trial'], 'DECISION': ['adopt', 'decision to', 'terminate'], 'CONTEXT': ['according', 'oxford', 'service'], 'NOISE': ['letters', 'podcast']}",50,290,PENDING,0.0,[],FETCHED
9,4,"(""A/B test"" OR ""pilot study"" OR ""randomised controlled trial"") AND (""according"" OR ""oxford"" OR ""service"") AND NOT (""letters"" OR ""podcast"")",2026-02-11 10:57:25,(METHOD) AND (CONTEXT) AND NOT (NOISE),"{'METHOD': ['A/B test', 'pilot study', 'randomised controlled trial'], 'DECISION': ['adopt', 'decision to', 'terminate'], 'CONTEXT': ['according', 'oxford', 'service'], 'NOISE': ['letters', 'podcast']}",50,290,9,0.18,"['support', 'control', 'participants', 'mental health', 'social anxiety']",COMPLETED
10,1,"(""pilot study"" OR ""A/B test"" OR ""impact evaluation"") AND (""cervical cancer"" OR ""alcohol"" OR ""london"") AND NOT (""live blog"" OR ""letters"")",2026-02-11 10:58:15,(METHOD) AND (CONTEXT) AND NOT (NOISE),"{'METHOD': ['pilot study', 'A/B test', 'impact evaluation'], 'DECISION': ['expand', 'adopt', 'decision to'], 'CONTEXT': ['cervical cancer', 'alcohol', 'london'], 'NOISE': ['live blog', 'letters']}",50,160,PENDING,0.0,[],FETCHED
6,1,"(""field experiment"" OR ""evaluation"" OR ""RCT"") AND (""healthcare"" OR ""fda said"" OR ""college"") AND NOT (""podcast"" OR ""opinion"")",2026-02-11 10:58:34,(METHOD) AND (CONTEXT) AND NOT (NOISE),"{'METHOD': ['field experiment', 'evaluation', 'RCT'], 'DECISION': ['decision to', 'implement', 'approve'], 'CONTEXT': ['healthcare', 'fda said', 'college'], 'NOISE': ['podcast', 'opinion']}",50,1695,PENDING,0.0,[],FETCHED
6,1,"(""randomised controlled trial"" OR ""impact evaluation"" OR ""field experiment"") AND (""healthcare"" OR ""efficacy"" OR ""fewer"") AND NOT (""sport"" OR ""podcast"")",2026-02-11 10:59:24,(METHOD) AND (CONTEXT) AND NOT (NOISE),"{'METHOD': ['randomised controlled trial', 'impact evaluation', 'field experiment'], 'DECISION': ['decision to', 'funding', 'roll out'], 'CONTEXT': ['healthcare', 'efficacy', 'fewer'], 'NOISE': ['sport', 'podcast']}",50,82,PENDING,0.0,[],FETCHED
6,1,"(""randomised controlled trial"" OR ""impact evaluation"" OR ""field experiment"") AND (""healthcare"" OR ""efficacy"" OR ""fewer"") AND NOT (""sport"" OR ""podcast"")",2026-02-11 10:59:24,(METHOD) AND (CONTEXT) AND NOT (NOISE),"{'METHOD': ['randomised controlled trial', 'impact evaluation', 'field experiment'], 'DECISION': ['decision to', 'funding', 'roll out'], 'CONTEXT': ['healthcare', 'efficacy', 'fewer'], 'NOISE': ['sport', 'podcast']}",50,82,6,0.12,"['paper', 'times week', 'researchers', 'work', 'recovery trial']",COMPLETED
6,2,"(""impact evaluation"" OR ""randomised controlled trial"" OR ""field experiment"") AND (""decline"" OR ""national"" OR ""london"") AND NOT (""podcast"" OR ""letters"")",2026-02-11 11:00:11,(METHOD) AND (CONTEXT) AND NOT (NOISE),"{'METHOD': ['impact evaluation', 'randomised controlled trial', 'field experiment'], 'DECISION': ['roll out', 'terminate', 'funding'], 'CONTEXT': ['decline', 'national', 'london'], 'NOISE': ['podcast', 'letters']}",50,119,PENDING,0.0,[],FETCHED
6,2,"(""impact evaluation"" OR ""randomised controlled trial"" OR ""field experiment"") AND (""decline"" OR ""national"" OR ""london"") AND NOT (""podcast"" OR ""letters"")",2026-02-11 11:00:11,(METHOD) AND (CONTEXT) AND NOT (NOISE),"{'METHOD': ['impact evaluation', 'randomised controlled trial', 'field experiment'], 'DECISION': ['roll out', 'terminate', 'funding'], 'CONTEXT': ['decline', 'national', 'london'], 'NOISE': ['podcast', 'letters']}",50,119,4,0.08,"['donation', 'social', 'adults', 'face face', 'organ donors']",COMPLETED
6,3,"(""controlled trial"" OR ""pilot study"" OR ""field experiment"") AND (""adopt"" OR ""terminate"" OR ""will decide"") AND (""using"" OR ""control"" OR ""emergency"")",2026-02-11 11:00:55,(METHOD) AND (DECISION) AND (CONTEXT),"{'METHOD': ['controlled trial', 'pilot study', 'field experiment'], 'DECISION': ['adopt', 'terminate', 'will decide'], 'CONTEXT': ['using', 'control', 'emergency'], 'NOISE': ['review', 'opinion']}",18,18,PENDING,0.0,[],FETCHED
10,1,"(""implement"" OR ""terminate"" OR ""decision to"") AND (""organ donors"" OR ""pfizer"" OR ""recovery"") AND NOT (""randomised controlled trial"" OR ""impact evaluation"" OR ""pilot study"")",2026-02-11 11:01:04,(DECISION) AND (CONTEXT) AND NOT (METHOD),"{'METHOD': ['randomised controlled trial', 'impact evaluation', 'pilot study'], 'DECISION': ['implement', 'terminate', 'decision to'], 'CONTEXT': ['organ donors', 'pfizer', 'recovery'], 'NOISE': ['letters', 'review']}",50,10289,PENDING,0.0,[],FETCHED
10,1,"(""implement"" OR ""terminate"" OR ""decision to"") AND (""organ donors"" OR ""pfizer"" OR ""recovery"") AND NOT (""randomised controlled trial"" OR ""impact evaluation"" OR ""pilot study"")",2026-02-11 11:01:04,(DECISION) AND (CONTEXT) AND NOT (METHOD),"{'METHOD': ['randomised controlled trial', 'impact evaluation', 'pilot study'], 'DECISION': ['implement', 'terminate', 'decision to'], 'CONTEXT': ['organ donors', 'pfizer', 'recovery'], 'NOISE': ['letters', 'review']}",50,10289,0,0.0,[],COMPLETED
10,2,"(""impact evaluation"" OR ""field experiment"" OR ""controlled trial"") AND (""recovery"" OR ""organs"" OR ""social anxiety"") AND NOT (""letters"" OR ""podcast"")",2026-02-11 11:01:46,(METHOD) AND (CONTEXT) AND NOT (NOISE),"{'METHOD': ['impact evaluation', 'field experiment', 'controlled trial'], 'DECISION': ['decision to', 'funding', 'implement'], 'CONTEXT': ['recovery', 'organs', 'social anxiety'], 'NOISE': ['letters', 'podcast']}",48,48,PENDING,0.0,[],FETCHED
10,2,"(""impact evaluation"" OR ""field experiment"" OR ""controlled trial"") AND (""recovery"" OR ""organs"" OR ""social anxiety"") AND NOT (""letters"" OR ""podcast"")",2026-02-11 11:01:46,(METHOD) AND (CONTEXT) AND NOT (NOISE),"{'METHOD': ['impact evaluation', 'field experiment', 'controlled trial'], 'DECISION': ['decision to', 'funding', 'implement'], 'CONTEXT': ['recovery', 'organs', 'social anxiety'], 'NOISE': ['letters', 'podcast']}",48,48,4,0.0833,"['oxygen', 'breakthrough', 'lancet', 'receive', 'hospitals']",COMPLETED
10,3,"(""evaluation"" OR ""pilot study"" OR ""controlled trial"") AND (""takotsubo"" OR ""organs"" OR ""online"") AND NOT (""podcast"" OR ""live blog"")",2026-02-11 11:02:32,(METHOD) AND (CONTEXT) AND NOT (NOISE),"{'METHOD': ['evaluation', 'pilot study', 'controlled trial'], 'DECISION': ['decision to', 'will decide', 'expand'], 'CONTEXT': ['takotsubo', 'organs', 'online'], 'NOISE': ['podcast', 'live blog']}",50,1330,PENDING,0.0,[],FETCHED
10,3,"(""evaluation"" OR ""pilot study"" OR ""controlled trial"") AND (""takotsubo"" OR ""organs"" OR ""online"") AND NOT (""podcast"" OR ""live blog"")",2026-02-11 11:02:32,(METHOD) AND (CONTEXT) AND NOT (NOISE),"{'METHOD': ['evaluation', 'pilot study', 'controlled trial'], 'DECISION': ['decision to', 'will decide', 'expand'], 'CONTEXT': ['takotsubo', 'organs', 'online'], 'NOISE': ['podcast', 'live blog']}",50,1330,1,0.02,"['ptsd', 'disorder', 'children', 'able', 'university oxford']",COMPLETED
